Code,Occupation,Proximity_Rating,Exposure_Rating
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",57,20
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",57,6
43-9021.00,Data Entry Keyers,57,11
13-1041.01,Environmental Compliance Inspectors,57,17
13-2061.00,Financial Examiners,57,1
19-4011.02,Food Science Technicians,57,12
51-4192.00,"Layout Workers, Metal and Plastic",57,13
17-3029.09,Manufacturing Production Technicians,57,8
17-3031.02,Mapping Technicians,57,2
47-2073.00,Operating Engineers and Other Construction Equipment Operators,57,2
43-5052.00,Postal Service Mail Carriers,57,8
51-4052.00,"Pourers and Casters, Metal",57,7
21-1092.00,Probation Officers and Correctional Treatment Specialists,57,52
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",57,6
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",57,5
51-9197.00,Tire Builders,57,3
51-4111.00,Tool and Die Makers,57,0
19-4011.01,Agricultural Technicians,56,15
21-1021.00,"Child, Family, and School Social Workers",56,37
13-1031.01,"Claims Examiners, Property and Casualty Insurance",56,3
43-4061.00,"Eligibility Interviewers, Government Programs",56,30
51-3092.00,Food Batchmakers,56,4
19-3093.00,Historians,56,7
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",56,38
17-2199.04,Manufacturing Engineers,56,6
17-2121.01,Marine Engineers,56,3
17-3029.07,Mechanical Engineering Technologists,56,0
43-9071.00,"Office Machine Operators, Except Computer",56,4
43-4151.00,Order Clerks,56,3
51-7032.00,"Patternmakers, Wood",56,0
11-9131.00,Postmasters and Mail Superintendents,56,17
51-5111.00,Prepress Technicians and Workers,56,0
49-9021.02,Refrigeration Mechanics and Installers,56,19
19-3031.01,School Psychologists,56,17
41-3011.00,Advertising Sales Agents,55,3
19-3091.01,Anthropologists,55,18
49-3023.02,Automotive Specialty Technicians,55,5
51-3011.00,Bakers,55,7
51-7011.00,Cabinetmakers and Bench Carpenters,55,0
53-7061.00,Cleaners of Vehicles and Equipment,55,16
21-2011.00,Clergy,55,40
15-1152.00,Computer Network Support Specialists,55,13
43-4041.01,Credit Authorizers,55,1
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",55,3
