Code,Occupation,Proximity_Rating,Exposure_Rating
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,80,19
39-7011.00,Tour Guides and Escorts,72,19
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",69,19
41-2031.00,Retail Salespersons,69,19
53-5011.00,Sailors and Marine Oilers,69,19
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",65,19
49-9021.02,Refrigeration Mechanics and Installers,56,19
17-2111.01,Industrial Safety and Health Engineers,53,19
43-4071.00,File Clerks,47,19
19-1023.00,Zoologists and Wildlife Biologists,39,19
33-9091.00,Crossing Guards,78,18
51-3023.00,Slaughterers and Meat Packers,73,18
47-2121.00,Glaziers,69,18
45-2011.00,Agricultural Inspectors,68,18
47-4041.00,Hazardous Materials Removal Workers,67,18
29-9011.00,Occupational Health and Safety Specialists,65,18
49-3051.00,Motorboat Mechanics and Service Technicians,64,18
39-2011.00,Animal Trainers,62,18
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",59,18
19-3091.01,Anthropologists,55,18
17-2199.01,Biochemical Engineers,49,18
11-1011.00,Chief Executives,43,18
43-5051.00,Postal Service Clerks,82,17
11-9071.00,Gaming Managers,76,17
25-1194.00,"Vocational Education Teachers, Postsecondary",76,17
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",74,17
19-1031.03,Park Naturalists,73,17
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",70,17
45-4011.00,Forest and Conservation Workers,67,17
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",66,17
27-2041.01,Music Directors,61,17
43-4141.00,New Accounts Clerks,59,17
13-1041.01,Environmental Compliance Inspectors,57,17
11-9131.00,Postmasters and Mail Superintendents,56,17
19-3031.01,School Psychologists,56,17
51-8092.00,Gas Plant Operators,54,17
17-3025.00,Environmental Engineering Technicians,47,17
43-4131.00,Loan Interviewers and Clerks,45,17
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",88,16
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",82,16
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",79,16
35-3031.00,Waiters and Waitresses,78,16
43-3041.00,Gaming Cage Workers,77,16
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",74,16
53-5031.00,Ship Engineers,72,16
43-5081.02,Marking Clerks,71,16
51-4061.00,"Model Makers, Metal and Plastic",71,16
33-9032.00,Security Guards,68,16
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,66,16
49-3093.00,Tire Repairers and Changers,65,16
25-4031.00,Library Technicians,62,16
11-9199.08,Loss Prevention Managers,58,16
53-7061.00,Cleaners of Vehicles and Equipment,55,16
25-9031.00,Instructional Coordinators,55,16
11-3051.01,Quality Control Systems Managers,48,16
19-1031.02,Range Managers,43,16
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,82,15
35-1011.00,Chefs and Head Cooks,81,15
49-9096.00,Riggers,77,15
53-6021.00,Parking Lot Attendants,73,15
49-9041.00,Industrial Machinery Mechanics,72,15
47-2011.00,Boilermakers,69,15
19-4093.00,Forest and Conservation Technicians,68,15
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",68,15
49-9021.01,Heating and Air Conditioning Mechanics and Installers,66,15
43-5081.04,"Order Fillers, Wholesale and Retail Sales",63,15
53-4031.00,Railroad Conductors and Yardmasters,63,15
25-1022.00,"Mathematical Science Teachers, Postsecondary",58,15
19-4011.01,Agricultural Technicians,56,15
11-9161.00,Emergency Management Directors,52,15
51-9011.00,Chemical Equipment Operators and Tenders,51,15
51-7031.00,"Model Makers, Wood",51,15
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",48,15
53-4021.00,"Railroad Brake, Signal, and Switch Operators",41,15
19-1029.01,Bioinformatics Scientists,34,15
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,85,14
51-3093.00,Food Cooking Machine Operators and Tenders,73,14
19-4051.01,Nuclear Equipment Operation Technicians,72,14
43-4031.03,License Clerks,70,14
45-1011.06,First-Line Supervisors of Aquacultural Workers,66,14
11-9039.02,Fitness and Wellness Coordinators,66,14
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",61,14
47-2041.00,Carpet Installers,59,14
11-1021.00,General and Operations Managers,55,14
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",53,14
25-9021.00,Farm and Home Management Advisors,43,14
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",40,14
25-1066.00,"Psychology Teachers, Postsecondary",40,14
23-1011.00,Lawyers,34,14
47-2031.01,Construction Carpenters,81,13
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",72,13
47-2171.00,Reinforcing Iron and Rebar Workers,71,13
53-3033.00,Light Truck or Delivery Services Drivers,67,13
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",64,13
43-4031.01,Court Clerks,62,13
23-2091.00,Court Reporters,61,13
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",58,13
51-4192.00,"Layout Workers, Metal and Plastic",57,13
15-1152.00,Computer Network Support Specialists,55,13
11-9199.02,Compliance Managers,54,13
17-3024.01,Robotics Technicians,54,13
53-4011.00,Locomotive Engineers,50,13
21-2021.00,"Directors, Religious Activities and Education",48,13
17-2081.00,Environmental Engineers,47,13
11-2031.00,Public Relations and Fundraising Managers,38,13
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",32,13
39-3012.00,Gaming and Sports Book Writers and Runners,85,12
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,81,12
47-3012.00,Helpers--Carpenters,77,12
49-9092.00,Commercial Divers,75,12
33-9099.02,Retail Loss Prevention Specialists,73,12
43-2021.00,Telephone Operators,68,12
47-3013.00,Helpers--Electricians,67,12
49-9031.00,Home Appliance Repairers,67,12
47-2044.00,Tile and Marble Setters,64,12
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",63,12
17-3024.00,Electro-Mechanical Technicians,62,12
19-4011.02,Food Science Technicians,57,12
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",52,12
25-1122.00,"Communications Teachers, Postsecondary",51,12
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51,12
17-2199.09,Nanosystems Engineers,50,12
25-1021.00,"Computer Science Teachers, Postsecondary",49,12
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",43,12
13-1032.00,"Insurance Appraisers, Auto Damage",41,12
25-1113.00,"Social Work Teachers, Postsecondary",34,12
39-1021.01,Spa Managers,82,11
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",79,11
53-3031.00,Driver/Sales Workers,77,11
47-2111.00,Electricians,75,11
49-9043.00,"Maintenance Workers, Machinery",73,11
27-2023.00,"Umpires, Referees, and Other Sports Officials",71,11
35-2011.00,"Cooks, Fast Food",65,11
47-4011.00,Construction and Building Inspectors,64,11
19-3091.02,Archeologists,63,11
43-5031.00,"Police, Fire, and Ambulance Dispatchers",60,11
43-9111.01,Bioinformatics Technicians,59,11
13-1199.01,Energy Auditors,59,11
43-9021.00,Data Entry Keyers,57,11
25-1063.00,"Economics Teachers, Postsecondary",53,11
13-1199.02,Security Management Specialists,51,11
17-3031.01,Surveying Technicians,50,11
17-3029.05,Industrial Engineering Technologists,49,11
17-2041.00,Chemical Engineers,45,11
17-2111.02,Fire-Prevention and Protection Engineers,45,11
47-2142.00,Paperhangers,44,11
25-1064.00,"Geography Teachers, Postsecondary",43,11
11-9121.02,Water Resource Specialists,43,11
11-3071.01,Transportation Managers,42,11
39-5093.00,Shampooers,91,10
47-2221.00,Structural Iron and Steel Workers,87,10
35-2014.00,"Cooks, Restaurant",81,10
39-6011.00,Baggage Porters and Bellhops,78,10
11-9051.00,Food Service Managers,78,10
53-5021.02,"Mates- Ship, Boat, and Barge",74,10
47-2061.00,Construction Laborers,73,10
49-9051.00,Electrical Power-Line Installers and Repairers,73,10
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",71,10
53-1011.00,Aircraft Cargo Handling Supervisors,68,10
41-2021.00,Counter and Rental Clerks,68,10
47-2211.00,Sheet Metal Workers,67,10
41-1011.00,First-Line Supervisors of Retail Sales Workers,66,10
27-3021.00,Broadcast News Analysts,65,10
49-9094.00,Locksmiths and Safe Repairers,62,10
19-4099.01,Quality Control Analysts,62,10
41-3021.00,Insurance Sales Agents,61,10
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",58,10
27-3011.00,Radio and Television Announcers,54,10
11-3051.03,Biofuels Production Managers,53,10
43-3061.00,Procurement Clerks,51,10
25-1192.00,"Home Economics Teachers, Postsecondary",47,10
53-4012.00,Locomotive Firers,45,10
25-1081.00,"Education Teachers, Postsecondary",41,10
17-2199.03,Energy Engineers,41,10
33-3041.00,Parking Enforcement Workers,37,10
47-1011.03,Solar Energy Installation Managers,78,9
37-3011.00,Landscaping and Groundskeeping Workers,76,9
27-2022.00,Coaches and Scouts,74,9
47-4031.00,Fence Erectors,74,9
51-9191.00,Adhesive Bonding Machine Operators and Tenders,70,9
